allegation,allegation_classification,allegation_categories,allegation_categories_description
ems: courtesy,Neglect of Duty and Professionalism,,
relations with other commissioned officers,Neglect of Duty and Professionalism,,
mvr equipment,Improper Use or Destruction of Equipment,,
body worn camera - pre operational procedures,Improper Use or Destruction of Equipment,,
untruthfulness,Falsifying Statements and Reports,,
department records,Neglect of Duty and Professionalism,,
troop assigned officer responsibilities,Neglect of Duty and Professionalism,,
"use of taster, lace and federal grants, unsatisfactory performance",Improper Use or Destruction of Equipment,,
lawful orders,Neglect of Duty and Professionalism,,
misue of cch,Neglect of Duty and Professionalism,,
political activity,Neglect of Duty and Professionalism,,
conduct unbecoming and officer,Neglect of Duty and Professionalism,,
vehicle usage limitations,Improper Use or Destruction of Equipment,,
"use of intoxicants, conduct unbecoming",Engaging in Criminal Activity,,
improper use of leave to work detail,Neglect of Duty and Professionalism,,
body worn camera activation,Improper Use or Destruction of Equipment,,
reporting for duty: lawful orders,Neglect of Duty and Professionalism,,
"dissemination of information, false statements",Falsifying Statements and Reports,,
body worn camera and in car camera systems,Improper Use or Destruction of Equipment,,
speeding/disobyed lawful order/left troop area,Engaging in Criminal Activity,,
body worn camera - responsibilities,Improper Use or Destruction of Equipment,,
mvr tape identification,Neglect of Duty and Professionalism,,
conduct unbecoming an offficer,Neglect of Duty and Professionalism,,
ems: conduct unbecoming an officer,Neglect of Duty and Professionalism,,
general use and operations,Neglect of Duty and Professionalism,,
cooperation with other agencies,Neglect of Duty and Professionalism,,
department record,Neglect of Duty and Professionalism,,
"lace and federal grants, accural of time, overtime and compensatory time, Failure to Upload Professionalism and Performance, mdt, mvr, internet",Improper Use or Destruction of Equipment,,
body worn wamera - activation,Improper Use or Destruction of Equipment,,
involvement in altercations,Engaging in Criminal Activity,,
ballistic vest: lawful orders,Improper Use or Destruction of Equipment,,
confiscating or seizing evidence and/or property,Mishandling Evidence,,
courtest,Neglect of Duty and Professionalism,,
ballistic vest: reporting for duty,Improper Use or Destruction of Equipment,,
ems: fleet crash,Improper Use or Destruction of Equipment,,
reporting for duty: false statements,Falsifying Statements and Reports,,
misuse of funds,Neglect of Duty and Professionalism,,
unbecoming behavior,Neglect of Duty and Professionalism,,
conduct unbecoming/false detention,Falsifying Statements and Reports,,
unbecoming behavior/sexual harassment,Sexual Misconduct and Harassment,,
complaint over the phone about tone of voice; a non-caring attitude; unable to read hand writing and not identifying himself,Neglect of Duty and Professionalism,,
complaint over phone about being rude,Neglect of Duty and Professionalism,,
complaint of harrassment,General Harassment,,
introduction of contraband into a penal facility,Engaging in Criminal Activity,,
battery-domestic abuse,Engaging in Criminal Activity,,
sexual conduct prohibited with persons in custody 14:134.1,Sexual Misconduct and Harassment,,
introduction of contraband,Engaging in Criminal Activity,,
harassment;misuseof official police powers,General Harassment,,
paragraph: 2; rule: 1.3 use of force,Excessive Use of Force,,
paragraph: 3; rule: 2 discourtesy,Neglect of Duty and Professionalism,,
rule 04: Failure to Upload Professionalism and Performance; paragraph 04: neglect of duty,Neglect of Duty and Professionalism,,
rule 04: Failure to Upload Professionalism and Performance; paragraph 02: instructions from an authoritative source,Neglect of Duty and Professionalism,,
rule 3: professionalism conduct; paragraph 01 - professionalism,Neglect of Duty and Professionalism,,
rule 03: moral conduct; paragraph 01: professionalism,Neglect of Duty and Professionalism,,
rule 02: moral conduct; paragraph 01: adherence to law,Neglect of Duty and Professionalism,,
rule 4: Failure to Upload Professionalism and Performance; paragraph 02 - instructions from authoritative source,Neglect of Duty and Professionalism,,
rule 07: department property; paragraph 03: cleanliness of department vehicles,Improper Use or Destruction of Equipment,,
rule 2: moral conduct; paragraph 04 - discrimination,Racial Profiling and Discrimination,,
rule 4: Failure to Upload Professionalism and Performance; paragraph 04 - neglect of duty,Neglect of Duty and Professionalism,,
rule 06: offical information; paragraph 02: false or inaccurate reports,Falsifying Statements and Reports,,
rule 02: moral conduct; paragraph 02: courtesy,Neglect of Duty and Professionalism,,
rule 2: moral conduct; paragraph 02 - courtesy,Neglect of Duty and Professionalism,,
rule 02: moral conduct; paragraph 06: unauthorized force,Excessive Use of Force,,
rule 02: moral conduct; paragraph 09: failure to cooperate/withholding information,Neglect of Duty and Professionalism,,
rule 5: rest activities; paragraph 07 - acting impartially,Neglect of Duty and Professionalism,,
rule 02: moral conduct; paragraph 03: honesty and truthfulness,Falsifying Statements and Reports,,
rule 04: Failure to Upload Professionalism and Performance; paragraph 06: leaving assigned area,Neglect of Duty and Professionalism,,
rule 02: moral conduct; paragraph 05: verbal intimidation,General Harassment,,
rule 05: restricted activities; paragraph 01: fictitious illness or injury,Falsifying Statements and Reports,,
rule 03: moral conduct; paragraph 13: social networking,Neglect of Duty and Professionalism,,
rule 04: Failure to Upload Professionalism and Performance; paragraph 01: reporting for duty,Neglect of Duty and Professionalism,,
rule 3: professionalism conduct; paragraph 07 - use of drugs/substance abuse testing,Engaging in Criminal Activity,,
rule 2: moral conduct; paragraph 06 - unauthorized force,Excessive Use of Force,,
rule 2: moral conduct; paragraph 05 - verbal intimidation,Neglect of Duty and Professionalism,,
rule 05: restricted activities; paragraph 07: acting impartially,Neglect of Duty and Professionalism,,
rule 06: offical information; paragraph 03: public statement and appearances,Neglect of Duty and Professionalism,,
rule 03: moral conduct; paragraph 02: abuse of position,Neglect of Duty and Professionalism,,
paragraph 08: use of drugs/substance abuse testing,Engaging in Criminal Activity,,
rule 04: Failure to Upload Professionalism and Performance; paragraph 03: devoting entire time to duty,Neglect of Duty and Professionalism,,
rule 2: moral conduct; paragraph 01 - adherence to law,Engaging in Criminal Activity,,
rule 03: moral conduct; paragraph 09: use of alcohol/drugs off duty,Engaging in Criminal Activity,,
rule 4: Failure to Upload Professionalism and Performance; paragraph 06 - leaving assigned area,Neglect of Duty and Professionalism,,
rule 04: Failure to Upload Professionalism and Performance; paragraph 05: ceasing to perform before end of period of duty,Neglect of Duty and Professionalism,,
rule 05: restricted activities; paragraph 02: associations,Neglect of Duty and Professionalism,,
rule 02: moral conduct; paragraph 08: failure to report misconduct,Engaging in Criminal Activity,,
paragraph 12: use of tabacco,Neglect of Duty and Professionalism,,
rule 02: moral conduct; paragraph 04: discrimination,Racial Profiling and Discrimination,,
rule 2: moral conduct; paragraph 09 - failure to cooperate/withholding information,Falsifying Statements and Reports,,
rule 4: Failure to Upload Professionalism and Performance; paragraph 01 - reporting for duty,Neglect of Duty and Professionalism,,
"rule 3: professionalism conduct; paragraph 13 - social networking, websites",Neglect of Duty and Professionalism,,
rule 04: Failure to Upload Professionalism and Performance; paragraph 07: leaving city on duty,Neglect of Duty and Professionalism,,
rule 7: department property; paragraph 03 - cleanliness of department equipment,Improper Use or Destruction of Equipment,,
rule 3: professionalism conduct; paragraph 02 - abuse of position,Neglect of Duty and Professionalism,,
rule 03: moral conduct; paragraph 08: use of alcohol/drugs on duty,Engaging in Criminal Activity,,
rule 3: professionalism conduct; paragraph 09 - use of alcohol and/or drugs off-duty,Engaging in Criminal Activity,,
rule 7: department property; paragraph 01 - use of department equipment,Improper Use or Destruction of Equipment,,
rule 6: official information; paragraph 01 - security of records,Mishandling Evidence,,
rule 2: moral conduct; paragraph 03 - honesty and truthfulness,Falsifying Statements and Reports,,
"rule 09: maintaining standard of service: section 01, paragraph 01.01",Neglect of Duty and Professionalism,,
rule 01: operation manuals; paragraph 01: rules of procedures,Neglect of Duty and Professionalism,,
rule 6: official information; paragraph 03 - public statement and appearances,Neglect of Duty and Professionalism,,
rule 3: professionalism conduct; paragraph 12 - retaliation,General Harassment,,
rule 5: rest activities; paragraph 09 - criminal proceeding against member(s),Engaging in Criminal Activity,,
rule 06: offical information; paragraph 01: security of records,Mishandling Evidence,,
rule 6: official information; paragraph 02 - false or inaccurate reports,Falsifying Statements and Reports,,
rule 07: department property; paragraph 01: use of department property,Improper Use or Destruction of Equipment,,
rule 03: moral conduct; paragraph 10: alcohol/drugs influence test,Engaging in Criminal Activity,,
rule 4: Failure to Upload Professionalism and Performance; paragraph 03 - devoting entire time to duty,Neglect of Duty and Professionalism,,
rule 09: maintaining standars of service: section 01,Neglect of Duty and Professionalism,,
rule 03: moral conduct; paragraph 11: use of tabacco,Neglect of Duty and Professionalism,,
paragraph 09: use of alcohol/on duty,Engaging in Criminal Activity,,
"rule v: sec. 09, of the civil service rules for the city of new orleans, to wit paragraph 01; paragraph 08",Neglect of Duty and Professionalism,,
policy memorandum #89,Other Allegation,,
rule 02: moral conduct; paragraph 06: authorized force,Excessive Use of Force,,
rule 03: moral conduct; paragraph 07: use of drugs/substance abuse testing,Engaging in Criminal Activity,,
rule 5: rest activities; paragraph 11 - interfering with investigations,Neglect of Duty and Professionalism,,
paragraph 10: use of alcohol/off duty,Engaging in Criminal Activity,,
rule 5: rest activities; paragraph 02 - associations,Neglect of Duty and Professionalism,,
rule 03: moral conduct; paragraph 05: referrals,Neglect of Duty and Professionalism,,
rule 05: restricted activities; paragraph 09: criminal proceeding against member(s),Engaging in Criminal Activity,,
rule 5: rest activities; paragraph 01 - fictitious illness or injury,Falsifying Statements and Reports,,
rule 03: moral conduct; paragraph 12: retaliation,General Harassment,,
rule 4: Failure to Upload Professionalism and Performance; paragraph 05 - ceasing to perform before end of shift,Neglect of Duty and Professionalism,,
paragraph 06: acting in civil matters,Neglect of Duty and Professionalism,,
rule 3: professionalism conduct; paragraph 11 - use of tabacco,Neglect of Duty and Professionalism,,
paragraph 11: interfering with investigations,Neglect of Duty and Professionalism,,
rule 05: restricted activities; paragraph 10: testifying on behalf of defendant(s),Engaging in Criminal Activity,,
"rule 03: moral conduct; paragraph 04: accepting, giving anything of value",Neglect of Duty and Professionalism,,
paragraph 02: authorized operator of department property,Improper Use or Destruction of Equipment,,
rule 3: professionalism conduct; paragraph 08 - use of alcohol and/or drugs on duty,Engaging in Criminal Activity,,
rule 4: Failure to Upload Professionalism and Performance; paragraph 07 - leaving city on duty,Neglect of Duty and Professionalism,,
rule 7: department property; paragraph 02 - authorized operator of department equipment,Improper Use or Destruction of Equipment,,
rule 03: moral conduct; paragraph 03: neatness and attire,Neglect of Duty and Professionalism,,
rule 5: rest activities; paragraph 06 - acting in civil matters,Neglect of Duty and Professionalism,,
"paragraph 04,05: accepting, giving anything of value",Neglect of Duty and Professionalism,,
rule 6: official information; paragraph 04 - citizens report complaint,Neglect of Duty and Professionalism,,
rule 3: professionalism conduct; paragraph 10 - alcohol and/or drugs influence test,Engaging in Criminal Activity,,
verbal intimidation,General Harassment,,
rule 02: moral conduct; paragraph 07: courage,Neglect of Duty and Professionalism,,
rule 3: professionalism conduct; paragraph 01 - adherence to law,Engaging in Criminal Activity,,
"rule 3: professionalism conduct; paragraph 04 - accepting, giving anything of value",Neglect of Duty and Professionalism,,
rule 2: moral conduct; paragraph 08 - failure to report misconduct,Falsifying Statements and Reports,,
rule 04: Failure to Upload Professionalism and Performance; paragraph 10: escort for valuables or money,Engaging in Criminal Activity,,
rule 5: rest activities; paragraph 03 - visiting prohibited establishments,Neglect of Duty and Professionalism,,
rule 05: restricted activities; paragraph 03: visiting prohibited establishments,Neglect of Duty and Professionalism,,
rule 05: restricted activities; paragraph 09: criminal proceeding against member,Engaging in Criminal Activity,,
paragraph 14: social networking,Neglect of Duty and Professionalism,,
rule 07: department property; paragraph 05: statement of responsibility,Neglect of Duty and Professionalism,,
rule 06: offical information; paragraph 04: citizens report complaint,Neglect of Duty and Professionalism,,
rule 06: offical information; paragraph 06: confidentiality of internal investigations,Neglect of Duty and Professionalism,,
rule 5: rest activities; paragraph 10 - testifying on behalf of defendent(s),Neglect of Duty and Professionalism,,
"paragraph 12,13: use of tobacco",Neglect of Duty and Professionalism,,
rule 3: professionalism conduct; paragraph 03 - neatness and attire,Neglect of Duty and Professionalism,,
rule 01: operation manuals; paragraph 02: effective,Neglect of Duty and Professionalism,,
rule 04: Failure to Upload Professionalism and Performance; paragraph 08: hours of duty,Neglect of Duty and Professionalism,,
rule 6: official information; paragraph 06 - confidentiality of internal investigations,Neglect of Duty and Professionalism,,
paragraph 02 - courtesy,Neglect of Duty and Professionalism,,
rule 06: offical information; paragraph 05: informants,Neglect of Duty and Professionalism,,
knowledge of orleans parish sheriff's office policy procedures,Neglect of Duty and Professionalism,,
instructions from a supervisor or higher ranked staff member,Neglect of Duty and Professionalism,,
reporting for dudty,Neglect of Duty and Professionalism,,
attire,Neglect of Duty and Professionalism,,
professionalism,Neglect of Duty and Professionalism,,
neglect of duty-supervisor responsibility,Neglect of Duty and Professionalism,,
neglect of duty-failure to act,Neglect of Duty and Professionalism,,
use of departmental property,Improper Use or Destruction of Equipment,,
procedures,Neglect of Duty and Professionalism,,
neglect of duty/failure to act 3,Neglect of Duty and Professionalism,,
intimation moral conduct/professionalism,Neglect of Duty and Professionalism,,
leaving assigned area,Neglect of Duty and Professionalism,,
"use of alcohol, reporting for duty, neglect of duty-failure to act 6",Neglect of Duty and Professionalism,,
neglect of duty-general,Neglect of Duty and Professionalism,,
reporting for duty and neglect of duty-general,Neglect of Duty and Professionalism,,
courtesy moral conduct,Neglect of Duty and Professionalism,,
adherence to law professionalism,Neglect of Duty and Professionalism,,
"professionalism, neglect of duty",Neglect of Duty and Professionalism,,
knowledge of orleans parish sheriffs office policies and procedures,Neglect of Duty and Professionalism,,
devoting entire time to duty/neglect of duty/leaving assigned area/knowledge of opso policies procedure,Neglect of Duty and Professionalism,,
injuring reporting,Neglect of Duty and Professionalism,,
instructions from a supervisor or higher ranked staff member/neglect of duty/supervisory responsibilities/knowledge of opso poleicies procedures,Neglect of Duty and Professionalism,,
"cooperation, instructions from a supervisor or higher ranked staff member, neglect of duty-general",Neglect of Duty and Professionalism,,
ceasing to perform before end of tour,Neglect of Duty and Professionalism,,
neglect of duty/supervisory responsibilities,Neglect of Duty and Professionalism,,
reporting for duty and instructions from a supervisor or higher ranked staff member,Neglect of Duty and Professionalism,,
neglect of duty failure to act 4,Neglect of Duty and Professionalism,,
instructions from a supervisor or higher ranked staff member/neglect of duty/supervisory responsibilities,Neglect of Duty and Professionalism,,
courage,Neglect of Duty and Professionalism,,
neglect of duty-supervisor responsibilities,Neglect of Duty and Professionalism,,
neglect of duty-supervisory responsibility,Neglect of Duty and Professionalism,,
instrustions from a supervisor or higher ranked staff member,Neglect of Duty and Professionalism,,
use of drugs,Engaging in Criminal Activity,,
unauthorized force/physical intimidation,Excessive Use of Force,,
cooperation,Neglect of Duty and Professionalism,,
"intimidation, unauthorized force/physical intimidation, moral conduct, professionalism",Excessive Use of Force,,
reporting for duty and neglect of duty-failure to act 3,Neglect of Duty and Professionalism,,
"sick leave, workers compensation and injury reporting-reporting for duty and neglect of duty-failure to act 3",Neglect of Duty and Professionalism,,
neglect of duty-general/instructions from a supervisor or higher ranked staff member,Neglect of Duty and Professionalism,,
knowledge of policies,Neglect of Duty and Professionalism,,
truthfulness/unauthorized force/physical intimidation/intimidation,Excessive Use of Force,,
instructions from a supervsior or higher ranked staff member,Neglect of Duty and Professionalism,,
neglect of duty-failure to act 5,Neglect of Duty and Professionalism,,
reporting for duty/cooperation/knowledge of orleans parish sheriff's office policy procedures,Neglect of Duty and Professionalism,,
"adherence to law, professionalism",Engaging in Criminal Activity,,
devoting entire time to duty,Neglect of Duty and Professionalism,,
insturctions from a supervisor or higher staff member,Neglect of Duty and Professionalism,,
moral conduct/prohibited discussions/professionalism,Neglect of Duty and Professionalism,,
"instructions from a supervsior or higher ranked staff member, leaving assigned",Neglect of Duty and Professionalism,,
adherence to law/courtesy/intimidation/professionalism,Neglect of Duty and Professionalism,,
instructions from supervisor or higher rank,Neglect of Duty and Professionalism,,
"instructions instructions from a supervisor or higher ranked staff member, neglect of duty-general and neglect of duty failure to act 1",Neglect of Duty and Professionalism,,
professionalism/cooperation/neglect of duty-general,Neglect of Duty and Professionalism,,
use of drugs/drug testing and instructions from supervisor or higher instructions from a supervisor or higher ranked staff,Engaging in Criminal Activity,,
neglect of duty-failure to act 6,Neglect of Duty and Professionalism,,
neglect of duty supervisory responsibility,Neglect of Duty and Professionalism,,
"professionalism, instrustions from a supervisor or higher ranked staff member, possession of cellular phones/devices in secure custody areas",Neglect of Duty and Professionalism,,
truthfulness/instructions from a supervisor or higher ranked staff member,Falsifying Statements and Reports,,
instructions from a supervisor or higher ranked staff member/neglect of duty-failure to act,Neglect of Duty and Professionalism,,
truthfulness and neglect of duty,Neglect of Duty and Professionalism,,
courtesy and professionalism,Neglect of Duty and Professionalism,,
fasle or inaccurate reports,Falsifying Statements and Reports,,
"adherence to law, unauthorized force/physical intimidation, professionalism and instructions from a or higher supervisor ranked staff member",Excessive Use of Force,,
ceasing to perform work before end of tour/neglect of duty-failure to act,Neglect of Duty and Professionalism,,
neglect of duty/failure to act 1,Neglect of Duty and Professionalism,,
neatness attire,Neglect of Duty and Professionalism,,
reporting changes in one's personal status,Neglect of Duty and Professionalism,,
"neglect of duty-failure to act: ""3""",Neglect of Duty and Professionalism,,
injury reporting,Neglect of Duty and Professionalism,,
reporting for duty/instructions from a supervisor or higher ranked staff member,Neglect of Duty and Professionalism,,
"sick leave, workers compensation and injury reporting, reeporting for duty neglect of duty-failure to act 3",Neglect of Duty and Professionalism,,
"reporting for duty, neglect of duty",Neglect of Duty and Professionalism,,
professionaliam,Neglect of Duty and Professionalism,,
instructions from higher rank,Neglect of Duty and Professionalism,,
"courtesy, intimidation and professionalism",General Harassment,,
false inaccurate reports/unauthorized force/intimidation,Excessive Use of Force,,
professionalism-sexual harassment,Sexual Misconduct and Harassment,,
courtesy and neglect of duty-supervisory responsibility,Neglect of Duty and Professionalism,,
neglect of duty and neglect of duty supervisory responsibilities,Neglect of Duty and Professionalism,,
physical intimidation,General Harassment,,
interfering with investigations,Neglect of Duty and Professionalism,,
moral conduct,Neglect of Duty and Professionalism,,
reporting for duty/neglect of duty-general,Neglect of Duty and Professionalism,,
supervisor responsibilities,Neglect of Duty and Professionalism,,
supervisory responsibilities,Neglect of Duty and Professionalism,,
neglect of duty-failure to act 1,Neglect of Duty and Professionalism,,
"instructions from a supervisor or higher ranked staff member, neglect of duty-general, neglect of duty-failure to act 6",Neglect of Duty and Professionalism,,
ceasing to perfrom before the end of tour,Neglect of Duty and Professionalism,,
rule courtesy/rule/instructions from a supervisor or higher ranked staff member/ rulec-neglect of duty-failure to act,Neglect of Duty and Professionalism,,
"professionalism, neglect of duty-general, neglect of duty-failure to act 9&12",Neglect of Duty and Professionalism,,
leaving assigned area/neglect of duty-general,Neglect of Duty and Professionalism,,
instructions from supervisor,Neglect of Duty and Professionalism,,
reporting late for duty,Neglect of Duty and Professionalism,,
"reporting for duty, neglect of duty-general and knowledge of orleans parish sheriffs office policies and procedures",Neglect of Duty and Professionalism,,
reporting for duty/neglect of duty/failure to act,Neglect of Duty and Professionalism,,
instructions from a supervisor or higher ranked staff member/neglect of duty/leaving assigned area,Neglect of Duty and Professionalism,,
abuse of position,Neglect of Duty and Professionalism,,
unauthorized force/physical intimidation and professionalism,Excessive Use of Force,,
"professionalism, truthfulness, instructions from a supervisor or higher ranked staff member, leaving assigned area",Falsifying Statements and Reports,,
possession of cellular phones/devices in secure custody area,Improper Use or Destruction of Equipment,,
professionalism/instructions from a supervisor or higher ranked staff member/neglect of duty-general,Neglect of Duty and Professionalism,,
sick leave workers' compensation,Neglect of Duty and Professionalism,,
"professionalism,, instructions from a supervisosr or higher rannked staff member, neglect of duty/failure to act 5",Neglect of Duty and Professionalism,,
"professionalism, instructions from a supervisor or higher ranked staff member, devoting entire time to duty, neglect of duty/general",Neglect of Duty and Professionalism,,
"professionalism, reporting for duty, neglect of duty-failure to act 3 and knowledge of orleans parish sheriffs office policies and procedures",Neglect of Duty and Professionalism,,
"neglect of duty-failure to act: ""6""",Neglect of Duty and Professionalism,,
instructions from a supervisor or higher ranked staff member/neglect of duty-general,Neglect of Duty and Professionalism,,
instructions from a supervisor or higher ranked staff,Neglect of Duty and Professionalism,,
"unauthorized force/physical intimidaton instructions from a supervisor or higher ranked staff member, neglect of duty-general, neglect of duty-failure to act 7 and knowledge of orleans parish sheriffs office policies and procedures",Excessive Use of Force,,
truthfulness and instructions from a supervisor or higher ranked staff member,Falsifying Statements and Reports,,
ceasing to perform work before end of tour,Neglect of Duty and Professionalism,,
"reporting for duty, neglect of duty-general, knowledge of orleans parish sheriffs office policies and procedures",Neglect of Duty and Professionalism,,
"devoting entire time to duty, neglect of duty/failure to act, knowledge of orleans parish sheriffs office policies and procedures",Neglect of Duty and Professionalism,,
instructions from rank or higher staff,Neglect of Duty and Professionalism,,
neglect of duty/supervisory responsibilities/neglect of duty-failure to actknowledge of orleans parish sheriff's office policy procedures,Neglect of Duty and Professionalism,,
neglect of duty-general/neglect of duty-failure to act,Neglect of Duty and Professionalism,,
prohibited discussions,Neglect of Duty and Professionalism,,
reporting for duty/neglect of duty-failure to act,Neglect of Duty and Professionalism,,
prohibited discussion,Neglect of Duty and Professionalism,,
unauthorized force/physical intimidation/professionalism,Excessive Use of Force,,
instructions from supervisor or rank,Neglect of Duty and Professionalism,,
reporting for duty and instructions from a supervisor or higher rank staff member,Neglect of Duty and Professionalism,,
reporting for duty/sick leave/worker's compensation/injury/reporting,Neglect of Duty and Professionalism,,
associations/professionalism/neglect of duty-failure to act ' knowledge of orleans parish sheriff's office policy procedures,Neglect of Duty and Professionalism,,
"truthfulness, reporting for duty, instructions from a supervisor or higher ranked staff member, neglect of duty failure to act, sick leave, workers compensation and injury report and knowledge of orleans parish sheriffs office policies and procedures",Falsifying Statements and Reports,,
"neglect of duty-failure to act: ""12""",Neglect of Duty and Professionalism,,
"reporting for duty, neglect of duty-general, neglect of duty-failure to act 33 and knowledge of orleans parish sheriffs office policies and procedures,",Neglect of Duty and Professionalism,,
"neglect of duty-general, neglect of duty failure to act 1&6",Neglect of Duty and Professionalism,,
professionalism and neglect of duty-general,Neglect of Duty and Professionalism,,
use of alcohol -off duty/reporting for duty/instructions from a supervisor or higher ranked staff member/neglect of duty-general,Engaging in Criminal Activity,,
instructions from a supervisor or higher ranked staff member and neglect of duty-failure to act 6,Neglect of Duty and Professionalism,,
"neglect of duty-failure to act: ""14""",Neglect of Duty and Professionalism,,
"reporting for duty, neglect of duty-failure to act 2",Neglect of Duty and Professionalism,,
reporting,Neglect of Duty and Professionalism,,
"neglect of duty/supervisory responsibility, neglect of duty/failure to act 4",Neglect of Duty and Professionalism,,
instructions from a supervisor or higher ranked staff member/oor higher ranked staff member/neglect of duty-general/nweglect of duty filure to act/ceasing to perform work before end of tour,Neglect of Duty and Professionalism,,
possession of cellular phones device in secure custody area,Improper Use or Destruction of Equipment,,
courtesy/professionalism/false or inaccurate reports,Falsifying Statements and Reports,,
truthfulness/interfering with investigations,Falsifying Statements and Reports,,
no charges found,Other Allegation,,
neantness and attire,Neglect of Duty and Professionalism,,
use of drugs/drug testing,Engaging in Criminal Activity,,
professionalism/instructions from a supervisor or higher ranked staff member/ceasing to perform work before the end of tour,Neglect of Duty and Professionalism,,
instruuctions from a supervisor or higher ranked staff member/neglect of duty-failure to act/leaving assigned area/knowledge of orleans parish sheriff's office policy procedures,Neglect of Duty and Professionalism,,
possession of cellular device,Improper Use or Destruction of Equipment,,
"adherence to law,",Engaging in Criminal Activity,,
truthfulness/unauthorized force/physical intimidation,Excessive Use of Force,,
neglect of duty/general,Neglect of Duty and Professionalism,,
inaccurate reports,Falsifying Statements and Reports,,
instructions from a supervisor or higher ranked staff member/negof duty-failure to act/knowledge of orleans parish sheriff's office policy procedures,Neglect of Duty and Professionalism,,
"neglect of duty-failure to act: ""1""",Neglect of Duty and Professionalism,,
"professionalism, cooperation and instructions from a supervisor or higher ranked staff member",Neglect of Duty and Professionalism,,
courtesy/professionalism/cooperation/neglect of duty-failure to act,Neglect of Duty and Professionalism,,
neatness,Neglect of Duty and Professionalism,,
neglect of duty-failure to act/sick leave/worker's compensation/reporting,Neglect of Duty and Professionalism,,
prohibited discussions and professionalism,Neglect of Duty and Professionalism,,
"neglect of duty,- failure to act 3 ceasing to perform work before end of tour of duty",Neglect of Duty and Professionalism,,
truthfulness/neglect of duty-general/ceasing to perform work before end of tour/leaving assigned area,Falsifying Statements and Reports,,
courtesy/professionalism/cooperation,Neglect of Duty and Professionalism,,
professionalism/leaving assigned area,Neglect of Duty and Professionalism,,
reporing for duty,Neglect of Duty and Professionalism,,
"professionalism, instructions from a supervisor or higher ranked staff member, neglect of duty, leaving assigned area, knowledge of orleans parish sheriffs office policies and procedures",Neglect of Duty and Professionalism,,
knowledge of orleans parish sheriff's office policy procedures/neglect of duty/instructions from a supervisor or higher ranked staff member/adherence to law,Neglect of Duty and Professionalism,,
ceasing to perform before the end of tour of duty,Neglect of Duty and Professionalism,,
neglect of duty/leaving assigned area,Neglect of Duty and Professionalism,,
courtesy/professionalism/ceasing to perform work before end of tour,Neglect of Duty and Professionalism,,
supervisor responsibility,Neglect of Duty and Professionalism,,
explosives,Engaging in Criminal Activity,,
"neglect of duty, false or inaccurate reports and knowledge of orleans parish sheriffs office policies and procedures",Falsifying Statements and Reports,,
"instructions from a supervisor or higher ranked staff member, neglect of duty-supervisory responsibility, knowledge of orleans parish sheriffs office policies and procedures",Neglect of Duty and Professionalism,,
"neglect of duty-failure to act: ""1"", ""4""",Neglect of Duty and Professionalism,,
"reporting for duty, instructions from a supervisor or higher ranked staff member, neglect of duty 3 and knowledge of orleans parish sheriffs office policies and procedures",Neglect of Duty and Professionalism,,
"professionalism, association, neglect of duty failure to act 11",Neglect of Duty and Professionalism,,
instructions from a supervisor or higher ranked stff member,Neglect of Duty and Professionalism,,
cooperation/professionalism,Neglect of Duty and Professionalism,,
"courtesy, professionalism and instructions from a supervisor or higher ranked staff member",Neglect of Duty and Professionalism,,
"courtesy, unauthorized force/physical intimidation, professionalism, devoting entire time to duty and neglect of duty",Excessive Use of Force,,
ceasing to perform work before the end of tour,Neglect of Duty and Professionalism,,
use of drug drug testing,Engaging in Criminal Activity,,
instructions froma supervisor or higher rank staff member,Neglect of Duty and Professionalism,,
instructions from a supervisor or higher ranked staff member/neglect of duty/supervisory responsibilities/knowledge of orleans parish sheriff's office policy procedures,Neglect of Duty and Professionalism,,
"""12""",Other Allegation,,
adherence to law/unauthorized force/physical inttimidation/professionalism,Excessive Use of Force,,
"courtesy, professionalism, cooperation and reporting for duty",Neglect of Duty and Professionalism,,
"professionalism, unauthorized force/physical intimidation, false or inaccurate reports",Excessive Use of Force,,
"courtesy, professionalism, intimidation neglect of duty-failure to act 3",General Harassment,,
"neglect of duty-failure to act: ""7""",Neglect of Duty and Professionalism,,
truthfulness/professionalism,Falsifying Statements and Reports,,
cooperation and instructions from a supervisor or higher rank,Neglect of Duty and Professionalism,,
"instructions from a supervisor or higher ranked staff member, neglect of duty-general",Neglect of Duty and Professionalism,,
neglect of duty-failure to act 7,Neglect of Duty and Professionalism,,
instructions from a supervisor or higher ranked staff member/devoting entire time to duty/neglect-failure to act,Neglect of Duty and Professionalism,,
"""11""",Other Allegation,,
devoting entire time to duty and neglect of duty-failure to act 5,Neglect of Duty and Professionalism,,
"adherence to law, truthfulness professionalism and associations",Falsifying Statements and Reports,,
"neglect of duty-failure to act: ""9"" (2 counts)",Neglect of Duty and Professionalism,,
"neglect of duty-failure to act: ""5""",Neglect of Duty and Professionalism,,
"devoting entire time on duty, neglect of duty-failure to act , leaving assigned area",Neglect of Duty and Professionalism,,
reported late for duty,Neglect of Duty and Professionalism,,
professionalism and instructions from a supervisor or higher ranked staff member,Neglect of Duty and Professionalism,,
instructions from a supervisor or higher rank staff member and neglect of duty failure to act 11,Neglect of Duty and Professionalism,,
"instructions from a supervisor or higher ranked staff member, ceasing to perform work before end of tour of duty, knowledge of orleans parish sheriffs office policiesa and procedures",Neglect of Duty and Professionalism,,
