action,action_classification,action_categories,action_categories_description
resigned under investigation on 4/30/2021,Resignation,,
suspended on 04/03/2019/return to duty on 05/15/2019,Suspension,,
suspended under case f-030-19,Suspension,,
suspended on 1/8/2021; terminated via drb on 1/22/21,Suspension,,
suspended on 11/11/2019/terminated by disciplinary review board on 08/13/2020,Suspension,,
deputy ruffin is out due to not taking taking the covid 19 test,Other Repercussion,,
suspended on 03/21/2019/terminated human resources 04/02/2019,Suspension,,
resigned under investigation on 10/28/2021,Resignation,,
suspended on 03/18/2020/terminated on 04/21/2020,Suspension,,
suspended on 06/03/2021; terminated via drb on 6//2021,Suspension,,
suspended on 3/17/2021 end date 3/23/2021 return to duty on 3/26/2021,Suspension,,
suspended on 4/27/2022 end date 5/02/2022 return to duty on 5/3/2022,Suspension,,
resigned under investigation on 6/8/2021,Resignation,,
suspended/arrested on 04/13/2020/terminated on 04/20/2020,Arrest,,
arrested/terminated on 04/20/2020 on case d-003-2020,Arrest,,
suspended on 12/17/19/resigned under investigation 01/21/2020,Suspension,,
terminated by disciplinary review board 04/04/2019,Termination,,
suspended on 11/16/2020 due to arrest/pending court case,Arrest,,
5-day suspension to run concurrent suspended on 4/27/2022 end date 5/6/2022 return to duty on 5/7/2022,Suspension,,
suspended on 6/10/2021 end date 6/29/2021 return to duty om 7/2/,Suspension,,
suspended on 10/21/2020/terminated by human resources on 10/26/2020,Suspension,,
suspended on 10/21/2020/terminated by human resources on 10/26/2020 case j-052-20,Suspension,,
suspended to 11/29/2021,Suspension,,
suspended on 09/24/2019/terminated disciplinary review board on 10/10/2019,Suspension,,
suspended on 10/14/2021 return on 10/18/2021,Suspension,,
suspended on 01/15/2019,Suspension,,
terminated by disciplinary review board on 06/11/2019/overturned by director hodge on 06/17/2019,Termination,,
suspended 9/9/2020-9/10/2020/returned to duty on 9/11/2020,Suspension,,
suspended on 6/16/201 end date 6/21/21,Suspension,,
terminated by human resources 08/15/2019,Termination,,
terminated by human resources on 07/31/2020,Termination,,
suspended on 1/17/2021 end date 2/4/2022 return to duty on 2/7/2022,Suspension,,
terminated by human resources on 05/11/2020,Termination,,
currently out due to failure to take covid vaccination,Other Repercussion,,
terminated by disciplinary review board on case # b 005-19,Termination,,
suspended on 1/14/2021 end date 1/16/2021 return to duty on 1/17/2021 {to run concurrent),Suspension,,
currently under investigation with tdc,Other Repercussion,,
currently out on suspension on case b- 007-21; resigned under investigation on 10/11/2021,Suspension,,
suspended on 06/20/2019,Suspension,,
suspended on 08/06/2019,Suspension,,
orleans justice center conducting investigation haven't received case yet/resigned under investigation on 03/17/2021,Resignation,,
resigned under investigation on 06/04/2021,Resignation,,
resigned under investigation 11/07/2019,Resignation,,
suspended on 05/22/2019 return to duty on 06/06/2019,Suspension,,
resigned under investigation 04/24/2020 prior to going to disciplinary review board,Resignation,,
suspended on 08/21/2019/resigned under investigation on 08/28/2019,Suspension,,
15-day suspension suspended on 6/22/2021 end date 7/22/2021 return to duty on 7/23/2021 suspension combined with case # d-002-21,Suspension,,
suspended on 11/19/2019,Suspension,,
suspended on 02/28/2019/resigned under investigation on 03/15/2019 at 0930 hours,Suspension,,
term/resigned under investigation 08/16/2019,Resignation,,
suspended on 06/18/2019/return to duty on,Suspension,,
suspended on 11/11/2019,Suspension,,
suspended on 02/15/2019 terminated by disciplinary review board on 02/27/2019,Suspension,,
suspended 1-6-21-1/8/21/returned to duty on 1/11/21,Suspension,,
suspended on 8/12/2021,Suspension,,
suspended on 5/7/21; resigned under investigation on 5/21/2021,Suspension,,
suspended on 04/08/2019/return to duty,Suspension,,
suspended 2/10/21-2/11/2021/returned to duty on 2/15/2021,Suspension,,
resigned under investigation on 01/11/2022,Resignation,,
terminated by disciplinary review board on 06/21/2019,Termination,,
suspended on 06/27/2019/terminated by disciplinary review board on 07/12/2019,Suspension,,
suspended on 10/11/2019/terminated on 10/31/2019 by disciplinary review board,Suspension,,
suspended on 10/4/2021 end date 10/15/2021t um to duty10/18/2 021,Suspension,,
resigned under investigation 09/05/2019,Resignation,,
resigned under investigation on 09/14/2021,Resignation,,
suspended on 07/25/2019 resigned under investigation under case number h-049-19,Suspension,,
resigned under investigation on 02/04/2021,Resignation,,
suspended on 1/7/2021 end date 1/24/21 return to duty on 1/27/21,Suspension,,
currently out on fmla,Other Repercussion,,
terminated of employment on 4/27/2021,Termination,,
suspended on 02/05/2020/returned to duty on 03/05/2020,Suspension,,
suspended on 10/24/2019/resigned under investigation on 11/20/2019,Suspension,,
suspended on 12/24/21 court attingment set for 05/02/2022,Suspension,,
resigned under investigation on 5/27/2020,Resignation,,
suspended on 03/27/2019/terminated by disciplinary review board on 04/04/2019,Suspension,,
resigned under investigation 11/11/2019,Resignation,,
suspended on 12/13/2019,Suspension,,
suspended on 05/23/2019/terminated by disciplinary review board on 06/21/2019,Suspension,,
suspended on 10/15/2021 return to duty on 10/16/2021,Suspension,,
terminated by disciplinary review board on 09/27/2019,Termination,,
suspended on 04/10/2019/return to duty,Suspension,,
suspended on 05/15/2019 return to duty on 06/06/2019,Suspension,,
suspended 2/15/2021-02/16/2021/returned to duty on 2/19/2021,Suspension,,
suspended/arrested on 12/3/2019/terminated on 12/04/2019,Arrest,,
suspended on 02/27/2019/terminated by disciplinary review board 04/04/2019,Suspension,,
suspended on 08/21/2019/resigned under investigation on 08/26/2019,Suspension,,
suspended on 10/24/2019 (j-010-19)/resigned under investigation on 11/20/2019,Suspension,,
suspended on 9/5/21,Suspension,,
resigned under investigation on 11/11/19,Resignation,,
suspended on 11/20/2021 return to duty on 11/21/2021,Suspension,,
suspended on 06/12/2019/terminated by human resources on 08/27/2019,Suspension,,
referred to training on 03/24/2021,Training,,
terminated by human resources 03/25/2021,Termination,,
suspended on 07/20/2020/case currently pending in criminal court,Suspension,,
terminated by human resources. on 04/17/19,Termination,,
terminated by human resources on 08/30/2019,Termination,,
suspended on 05/22/2019 terminated human resources 06/10/2019,Suspension,,
resigned under investigation on 09/27/2021,Resignation,,
suspended on 12/17/2019/terminated by disciplinary review board on 01/28/2020,Suspension,,
displacment due to natural disaster; resigned under investigation on 01/11/2022,Resignation,,
suspended on 07/09/2021,Suspension,,
suspended on 08/15/2019/terminated by disciplinary review board on 09/30/2019,Suspension,,
separated from employment,Termination,,
resignation,Resignation,,
record of counseling,Counseling,,
arrested; suspended,Arrest,,
30 day suspension,Suspension,,
none,None,,
verbal wanring,Written or Verbal Reprimand,,
one day suspension,Suspension,,
grand jury indictment for 14:132,Other Repercussion,,
suspended from working details for 60 days,Suspension,,
no disposition,None,,
counseled | written warning,Counseling,,
unknown (no record of documentation other than complaint form),Other Repercussion,,
given verbal instruction,Written or Verbal Reprimand,,
5 day suspension without pay,Suspension,,
15 day suspension without pay; appeal: yes; hearing date: 8/9/2017; appeal disposition: 15 day suspension reduced to 6 day suspension,Suspension,,
3 days,Suspension,,
2 day,Suspension,,
5 days,Suspension,,
training,Training,,
1 day,Suspension,,
15 days,Suspension,,
counseled on actions,Counseling,,
45-day suspension,Suspension,,
sgt. joseph credeur suspended 3 days,Suspension,,
90 day vehicle,Loss of Unit Privileges,,
suspended 3 days,Suspension,,
resigned prior to termination,Resignation,,
", 14day suspension and demotion",Suspension,,
", 3day suspension",Suspension,,
retired under investigation,Resignation,,
arrested; terminated,Arrest,,
green sheet,Other Repercussion,,
unfounded,None,,
termination;arrested,Arrest,,
Demoted;transferred,Transfer,,
suspension;probation,Suspension,,
Terminated,Termination,,
24-hours suspension,Suspension,,
12-hours suspension,Suspension,,
24-hours suspension and pay half the cost of the missing earrings,Suspension,,
16-hours suspension and attendance of a refresher course on impact weapon use,Suspension,,
36-hours suspension,Suspension,,
40-hours suspension and required to attend anger management course,Suspension,,
16-hours suspension and mandatory course on sexual harassment,Suspension,,
8-hours suspension,Suspension,,
24-hours suspension and pay half the costs of the missing earrings,Suspension,,
40-hours suspension and demoted to the rank of sergeant,Suspension,,
32-hours suspension,Suspension,,
24-hours suspension and 30-days loss of unit,Suspension,,
16-hours suspension,Suspension,,
warning,Written or Verbal Reprimand,,
16-hour suspension,Suspension,,
discharged,Termination,,
1-year probation,Other Repercussion,,
demoted to deputy,Demotion,,
72-hour suspension,Suspension,,
demotion to lieutenant,Demotion,,
written,Written or Verbal Reprimand,,
cleared,None,,
suspended/demoted,Suspension,,
disciplined,Written or Verbal Reprimand,,
other,Other Repercussion,,
quit,Resignation,,
arrested; turned over to the Louisiana State Police Department,Arrest,,
